,id,favorite_count,retweet_count
0,892420643555336193,34860,7315
1,892177421306343426,30194,5465
2,891815181378084864,22732,3604
3,891689557279858688,38132,7505
4,891327558926688256,36396,8057
5,891087950875897856,18366,2703
6,890971913173991426,10689,1745
7,890729181411237888,58727,16410
8,890609185150312448,25280,3754
9,890240255349198849,28829,6340
10,890006608113172480,27830,6379
11,889880896479866881,25293,4325
12,889665388333682689,43407,8679
13,889638837579907072,24397,3874
14,889531135344209921,13750,1955
15,889278841981685760,22796,4619
16,888917238123831296,26381,3888
17,888804989199671297,23154,3685
18,888554962724278272,17855,2991
19,888078434458587136,19750,3018
20,887705289381826560,27450,4692
21,887517139158093824,41985,10219
22,887473957103951883,62112,15610
23,887343217045368832,30473,9156
24,887101392804085760,27786,5184
25,886983233522544640,31462,6633
26,886736880519319552,10815,2753
27,886680336477933568,20364,3890
28,886366144734445568,19123,2745
29,886267009285017600,106,3
30,886258384151887873,25325,5489
31,886054160059072513,0,96
32,885984800019947520,29504,5834
33,885528943205470208,32556,5551
34,885518971528720385,18556,3241
35,885311592912609280,0,16037
36,885167619883638784,19818,3798
37,884925521741709313,69565,15658
38,884876753390489601,25189,4850
39,884562892145688576,22002,4075
40,884441805382717440,24584,4954
41,884247878851493888,65522,17618
42,884162670584377345,18494,2598
43,883838122936631299,19779,2972
44,883482846933004288,41486,8592
45,883360690899218434,20551,3197
46,883117836046086144,33575,5759
47,882992080364220416,21645,3363
48,882762694511734784,25578,4251
49,882627270321602560,25389,5269
50,882268110199369728,40493,10060
51,882045870035918850,26545,4229
52,881906580714921986,22092,2960
53,881666595344535552,45935,9281
54,881633300179243008,113,8
55,881536004380872706,44812,13923
56,881268444196462592,21113,4628
57,880935762899988482,15512,2432
58,880872448815771648,19310,3323
59,880465832366813184,25763,5414
60,880221127280381952,24427,3611
61,880095782870896641,25055,3778
62,879862464715927552,20305,3035
63,879674319642796034,286,10
64,879492040517615616,21327,2755
65,879415818425184262,95794,38864
66,879376492567855104,15294,2734
67,879130579576475649,0,5946
68,879050749262655488,20451,4104
69,879008229531029506,17266,2336
70,878776093423087618,17621,3580
71,878604707211726852,27269,6163
72,878404777348136964,0,1113
73,878316110768087041,0,5758
74,878281511006478336,7004,1113
75,878057613040115712,38226,5944
76,877736472329191424,71659,16476
77,877611172832227328,0,71
78,877556246731214848,20580,3297
79,877316821321428993,24920,4544
80,877201837425926144,24581,4842
81,876838120628539392,18801,2914
82,876537666061221889,21638,4116
83,876484053909872640,17067,2071
84,876120275196170240,25442,4066
85,875747767867523072,22856,3733
86,875144289856114688,19943,4283
87,875097192612077568,24991,5322
88,875021211251597312,23234,4127
89,874680097055178752,25313,4070
90,874434818259525634,0,12699
91,874296783580663808,23739,3628
92,874057562936811520,20712,3496
93,874012996292530176,31086,8943
94,873580283840344065,22092,3453
95,873337748698140672,0,1385
96,873213775632977920,6529,1385
97,872967104147763200,24821,4740
98,872820683541237760,13456,3267
99,872620804844003328,18909,3197
100,872486979161796608,37192,7994
101,872122724285648897,31224,7124
102,871879754684805121,34224,9616
103,871762521631449091,18456,3067
104,871515927908634625,18423,3056
105,871166179821445120,0,5042
106,871102520638267392,19117,4861
107,871032628920680449,20785,3356
108,870804317367881728,30735,5455
109,870726314365509632,110,3
110,870656317836468226,11227,2293
111,870374049280663552,76197,23568
